# ----------------------------------------
# Todos os dados do website
# Face Relatório
# 20210901-20210930
# ----------------------------------------

Campanha,Data,Sessões,/delivery - Soma 'Peça Agora'(14) e 'Veja o Cardápio Completo'(12) (Conclusões da meta 13),Usuários
rec_topo_int_regioes_speciali_ninho_al_cafe,20210923,1,0,1
rec_topo_int_regioes_speciali_ninho_al_cafe,20210926,1,0,1
rec_topo_int_regioes_speciali_ninho_al_cafe,20210927,1,0,1
rec_topo_int_regioes_speciali_ninho_al_cafe,20210928,1,0,1
speciali_sabores_conv_2021,20210901,1,0,1
speciali_sabores_conv_2021,20210906,1,0,1
speciali_sabores_conv_2021,20210914,1,0,1
speciali_sabores_conv_2021,20210927,1,0,1
speciali_sabores_conv_26052021,20210921,1,0,1
speciali_sabores_conv_RMKT_e_LAL,20210902,1,0,1
Topo_Reconhecimento_DiadasMaes_01/05/2021,20210924,1,0,1
trafego_site,20210904,1,0,1
trafego_site,20210925,1,0,1
conv_lp_semana_do_gelato,20210917,0,0,11
rec_topo_int_regioes_leva_junto_uma_viagem+-+BL,20210904,0,0,1
,,101.746,21.032,101.065

Índice do dia,Sessões
01/09/2021,1.818
02/09/2021,2.057
03/09/2021,2.594
04/09/2021,1.605
05/09/2021,1.719
06/09/2021,1.798
07/09/2021,2.919
08/09/2021,2.628
09/09/2021,2.893
10/09/2021,1.938
11/09/2021,3.155
12/09/2021,3.662
13/09/2021,2.213
14/09/2021,2.830
15/09/2021,1.397
16/09/2021,2.343
17/09/2021,2.076
18/09/2021,2.721
19/09/2021,3.176
20/09/2021,5.745
21/09/2021,6.036
22/09/2021,5.473
23/09/2021,6.732
24/09/2021,7.552
25/09/2021,6.882
26/09/2021,5.560
27/09/2021,2.218
28/09/2021,3.101
29/09/2021,3.674
30/09/2021,3.231
,101.746
