"Nome da campanha",Dia,"Status de veiculação","Nível de veiculação","Nome da campanha",Alcance,Frequência,Impressões,"Cliques no link","CPM (custo por 1.000 impressões)","CTR (taxa de cliques no link)","Valor gasto (BRL)","Início dos relatórios","Término dos relatórios"
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-22,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,63246,1.0188786642634,64440,63,4.67752948,0.097765363128492,301.42,2021-09-22,2021-09-22
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-22,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,2418,1.04052936311,2516,38,15.69554849,1.510333863275,39.49,2021-09-22,2021-09-22
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-22,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,162959,1.0678698322891,174019,1219,9.94621277,0.70049822145858,1730.83,2021-09-22,2021-09-22
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-22,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,564608,1.0301749178191,581645,715,2.0277145,0.12292721505386,1179.41,2021-09-22,2021-09-22
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-22,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,562142,1.0646793870588,598501,442,1.18245416,0.073851171510156,707.7,2021-09-22,2021-09-22
rec_topo_int_regioes_casquinha,2021-09-22,inactive,campaign,rec_topo_int_regioes_casquinha,91051,1.0871489604727,98986,142,2.25163154,0.14345462994767,222.88,2021-09-22,2021-09-22
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-21,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,529780,1.046532522934,554432,554,1.90831337,0.099922082419485,1058.03,2021-09-21,2021-09-21
2021_perf_fundo_wp_aon_msg_chat_tipo-p,2021-09-21,active,campaign,2021_perf_fundo_wp_aon_msg_chat_tipo-p,1470,1.0619047619048,1561,37,17.40550929,2.3702754644459,27.17,2021-09-21,2021-09-21
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-21,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,848985,1.1240481280588,954300,912,1.97497642,0.095567431625275,1884.72,2021-09-21,2021-09-21
conv_lp_semana_do_gelato,2021-09-21,inactive,campaign,conv_lp_semana_do_gelato,208316,1.2041657865934,250847,4290,11.94524949,1.7102058226728,2996.43,2021-09-21,2021-09-21
rec_topo_int_regioes_speciali_ninho_al_cafe,2021-09-21,inactive,campaign,rec_topo_int_regioes_speciali_ninho_al_cafe,0,0,0,,,,0,2021-09-21,2021-09-21
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-21,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,191161,1.0536406484586,201415,1371,8.69607527,0.68068415957103,1751.52,2021-09-21,2021-09-21
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-21,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,101115,1.3209415022499,133567,967,15.91695554,0.72398122290686,2125.98,2021-09-21,2021-09-21
2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,2021-09-21,inactive,campaign,2021_brand_topo_mkt-places-delivery_sazonal_crocante-vegano_rec_impressions_speciali,639478,1.0897137978163,696848,485,1.26957385,0.069599109131403,884.7,2021-09-21,2021-09-21
rec_topo_int_regioes_casquinha,2021-09-21,inactive,campaign,rec_topo_int_regioes_casquinha,80255,1.0864245218366,87191,108,2.2483972,0.12386599534356,196.04,2021-09-21,2021-09-21
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-21,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,101277,1.0340156205259,104722,111,5.44880732,0.10599491988312,570.61,2021-09-21,2021-09-21
rec_topo_int_regioes_speciali_ninho_al_cafe,2021-09-20,inactive,campaign,rec_topo_int_regioes_speciali_ninho_al_cafe,447478,1.0464492109109,468263,322,1.11138399,0.068764775350604,520.42,2021-09-20,2021-09-20
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-20,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,501749,1.0130503498761,508297,478,1.56768582,0.094039508397649,796.85,2021-09-20,2021-09-20
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-20,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,140855,1.0547797380285,148571,1018,7.23963627,0.68519428421428,1075.6,2021-09-20,2021-09-20
rec_topo_int_regioes_casquinha,2021-09-20,inactive,campaign,rec_topo_int_regioes_casquinha,70333,1.0816544154238,76076,87,1.95278406,0.11435932488564,148.56,2021-09-20,2021-09-20
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-20,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,65998,1.0103184944998,66679,70,5.87336343,0.10498057859296,391.63,2021-09-20,2021-09-20
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-20,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,779244,1.1075118961455,863022,663,1.60561376,0.076823070559036,1385.68,2021-09-20,2021-09-20
conv_lp_semana_do_gelato,2021-09-20,inactive,campaign,conv_lp_semana_do_gelato,210298,1.1276426784848,237141,4170,10.1341396,1.7584475059142,2403.22,2021-09-20,2021-09-20
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-20,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,88478,1.2893035556862,114075,695,11.81310541,0.60924830155599,1347.58,2021-09-20,2021-09-20
2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,2021-09-19,active,campaign,2021_brand_topo_mkt-places-delivery_aon_leva-junto-uma-viagem_rec_impressions_principale_brand-lift,600697,1.0338573357283,621035,624,1.62610803,0.10047742880836,1009.87,2021-09-19,2021-09-19
2021_perf_meio_mkt-places-delivery_aon_conv_lead,2021-09-19,active,campaign,2021_perf_meio_mkt-places-delivery_aon_conv_lead,237566,1.0788033641178,256287,1878,7.75341707,0.73277224361751,1987.1,2021-09-19,2021-09-19
rec_topo_int_regioes_casquinha,2021-09-19,inactive,campaign,rec_topo_int_regioes_casquinha,89567,1.0953476168678,98107,114,1.95246007,0.11619965955538,191.55,2021-09-19,2021-09-19
2021_geral_topo_engaj_aon_engaj_tipo-p,2021-09-19,active,campaign,2021_geral_topo_engaj_aon_engaj_tipo-p,98000,1.0157755102041,99546,156,5.20965182,0.15671147007414,518.6,2021-09-19,2021-09-19
2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,2021-09-19,active,campaign,2021_brand_topo_mkt-places-delivery_aon_primavera_rec_impressions_principale_brand-lift,967419,1.109456192198,1073309,825,1.67933,0.076865096631073,1802.44,2021-09-19,2021-09-19
2021_perf_fundo_mkt-places-delivery_aon_conv_lead,2021-09-19,active,campaign,2021_perf_fundo_mkt-places-delivery_aon_conv_lead,143102,1.314495953935,188107,1246,12.45631476,0.66238895947519,2343.12,2021-09-19,2021-09-19
rec_topo_int_regioes_speciali_ninho_al_cafe,2021-09-19,inactive,campaign,rec_topo_int_regioes_speciali_ninho_al_cafe,637560,1.0225061170713,651909,481,1.12241126,0.073783304111463,731.71,2021-09-19,2021-09-19
