Campaign ID,Date,Campaign name,Campaign status,Campaign entity status,Campaign Objective,Spend in account currency,Impressions,Click-through conversions (Page visit),Engagement conversions (Page visit),View-through conversions (Page visit),Click-through conversions (Signup),Engagement conversions (Signup),View-through conversions (Signup),Click-through conversions (Checkout),Engagement conversions (Checkout),View-through conversions (Checkout),Click-through conversions (Custom),Engagement conversions (Custom),View-through conversions (Custom),Click-through value (Page visit),Engagement value (Page visit),View-through value (Page visit),Click-through value (Signup),Engagement value (Signup),View-through value (Signup),Click-through order value (Checkout),Engagement order value (Checkout),View-through order value (Checkout),Click-through value (Custom),Engagement value (Custom),View-through value (Custom),Reach,Frequency,CPM,Gross impressions,Gross Pin clicks,Cost per result,Result,Engagements,Engagement rate,CPE,Pin clicks,CTR,CPC,Saves,Outbound clicks,Conversions,CPV,CPCV (100%),CPCV (95%),Video views,Total 3-Second Video Views,Total video played at 25%,Total video played at 50%,Total video played at 75%,Total video played at 95%,Total video played at 100%,Total video starts,Total save rate,Paid impressions,Paid engagements,Engagement rate,Paid Pin clicks,Paid CTR,Paid saves,Paid outbound clicks,Paid save rate,Paid video views,3-Second Video Views,Paid video played at 25%,Paid video played at 50%,Paid video played at 75%,Paid video played at 95%,Paid video played at 100%,Paid video starts,Paid average video play time,Earned impressions,Earned engagements,Earned Pin clicks,Earned CTR,Earned saves,Earned outbound clicks,Earned save rate,Earned video views,Earned 3-Second Video Views,Earned video played at 25%,Earned video played at 50%,Earned video played at 75%,Earned video played at 95%,Earned video played at 100%,Earned video starts,Earned average video play time
C626744385053,2021-09-03,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1.6666666666666667,0,0,0,[0.0],[5],0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,5,3,2,0,0,0,0,9,2.7042222222222225
C626744385053,2021-09-04,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1.1666666666666667,0,0,0,[0.0],[2],0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,2,1,0,0,0,0,0,7,1.809
C626744385053,2021-09-05,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1.8333333333333333,0,0,0,[0.0],[4],1,0.09090909090909091,0,1,0.09090909090909091,0,0,0,0,0,0,0,4,3,3,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,1,1,0.09090909090909091,0,0,0,4,3,3,2,0,0,0,5,4.5728
C626744385053,2021-09-06,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.2,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
C626744385053,2021-09-07,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1.25,0,0,0,[0.0],[1],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,1,1,0,0,0,0,3,2.5643333333333334
C626744385053,2021-09-08,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1.6666666666666667,0,0,0,[0.0],[2],0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,2,2,1,1,1,1,2,25.394
C626744385053,2021-09-09,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1.0,0,0,0,[0.0],[1],0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,0,0,2,2.718
C626744385053,2021-09-10,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,[0.0],[1],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,1,3.769
C626744385053,2021-09-11,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1.0,0,0,0,[0.0],[0],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C626744385053,2021-09-12,2021-07-30 Visualizações do vídeo - Transição Rappi,PAUSED,PAUSED,Video,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.0,0,0,0,[0.0],[1],0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,1,1,1,27.425
