Dia
1 de Março de 2021 - 31 de Outubro de 2021
Campanha,Dia,Código da moeda,Impr.,Cliques,CPM médio,CPC médio,CTR,Conversões,Conv. de visualização,Custo / conv.,Taxa de conv.,Custo
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-23,BRL,1.947,193,"105,60","1,07","9,91%","94,19",0,"2,18","48,80%","205,60"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-09-01,BRL,2.702,554,"164,23","0,80","20,50%","218,71",0,"2,03","39,48%","443,74"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-05,BRL,1.025,188,"43,46","0,24","18,34%","106,00",0,"0,42","56,38%","44,55"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-05-29,BRL,3.141,549,"68,05","0,39","17,48%","359,19",0,"0,60","65,43%","213,74"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-05,BRL,909,175,"49,74","0,26","19,25%","78,00",0,"0,58","44,57%","45,21"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-19,BRL,880,182,"78,86","0,38","20,68%","106,00",0,"0,65","58,24%","69,40"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-03,BRL,4.501,655,"77,63","0,53","14,55%","282,38",0,"1,24","43,11%","349,43"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-07-14,BRL,2.220,404,"110,37","0,61","18,20%","180,98",0,"1,35","44,80%","245,03"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-09-30,BRL,2.709,564,"156,44","0,75","20,82%","236,00",0,"1,80","41,84%","423,80"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-09-08,BRL,3.545,698,"148,98","0,76","19,69%","276,76",0,"1,91","39,65%","528,14"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-06,BRL,726,159,"38,25","0,17","21,90%","98,00",0,"0,28","61,64%","27,77"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-07,BRL,696,170,"41,72","0,17","24,43%","108,00",0,"0,27","63,53%","29,04"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-12,BRL,1.311,237,"66,54","0,37","18,08%","164,00",0,"0,53","69,20%","87,23"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-02,BRL,673,134,"78,02","0,39","19,91%","0,00",0, --,"0,00%","52,51"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-27,BRL,1.698,463,"34,07","0,12","27,27%","333,00",0,"0,17","71,92%","57,85"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-08-18,BRL,2.775,567,"142,95","0,70","20,43%","324,14",0,"1,22","57,17%","396,70"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-16,BRL,1.106,246,"38,05","0,17","22,24%","178,50",0,"0,24","72,56%","42,08"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-05-22,BRL,1.565,277,"48,01","0,27","17,70%","150,57",0,"0,50","54,36%","75,14"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-17,BRL,938,193,"88,04","0,43","20,58%","97,00",0,"0,85","50,26%","82,58"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-10-09,BRL,3.567,776,"203,78","0,94","21,75%","335,00",0,"2,17","43,17%","726,88"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-08-02,BRL,1.793,348,"120,55","0,62","19,41%","139,77",0,"1,55","40,16%","216,15"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-04,BRL,1.271,304,"38,35","0,16","23,92%","206,00",0,"0,24","67,76%","48,74"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-04-13,BRL,841,180,"34,45","0,16","21,40%","94,50",0,"0,31","52,50%","28,97"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-05-20,BRL,1.114,214,"46,71","0,24","19,21%","93,59",0,"0,56","43,73%","52,03"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-01,BRL,1.623,273,"113,38","0,67","16,82%","0,00",0, --,"0,00%","184,02"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-03-24,BRL,904,226,"49,51","0,20","25,00%","139,00",0,"0,32","61,50%","44,76"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-18,BRL,3.325,317,"114,69","1,20","9,53%","148,67",0,"2,56","46,90%","381,33"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-06-27,BRL,3.234,487,"138,23","0,92","15,06%","214,00",0,"2,09","43,94%","447,04"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-07-06,BRL,1.652,305,"138,43","0,75","18,46%","142,98",0,"1,60","46,88%","228,69"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-07-12,BRL,2.025,406,"90,15","0,45","20,05%","234,16",0,"0,78","57,67%","182,56"
2021_perf_fundo_aon_mkt-places-delivery_search_institucional,2021-05-09,BRL,2.442,427,"50,49","0,29","17,49%","320,17",0,"0,39","74,98%","123,30"
