,Unnamed: 0,Faturamento Total,Alcance,Frequencia,Impressoes,Cliques,CTR,CPM,CPC,Resultados,CustoResult,Custo
274,2021-10-02,1217603.2900000005,,,,,,,,,,
275,2021-10-03,778522.4400000002,,,,,,,,,,
276,2021-10-04,0.0,,,,,,,,,,
277,2021-10-05,0.0,,,,,,,,,,
278,2021-10-06,0.0,,,,,,,,,,
279,2021-10-07,405341.0099999997,,,,,,,,,,
280,2021-10-08,671816.9,,,,,,,,,,
281,2021-10-09,1009849.8799999997,,,,,,,,,,
282,2021-10-10,944978.16,,,,,,,,,,
283,2021-10-11,829812.3899999995,,,,,,,,,,
284,2021-10-12,1240008.0300000005,,,,,,,,,,
285,2021-10-13,440960.4599999999,,,,,,,,,,
286,2021-10-14,484833.7099999999,,,,,,,,,,
287,2021-10-15,708917.0100000004,,,,,,,,,,
288,2021-10-16,1092433.5299999996,,,,,,,,,,
289,2021-10-17,954526.98,,,,,,,,,,
290,2021-10-18,290788.5899999999,,,,,,,,,,
291,2021-10-19,293807.48000000004,,,,,,,,,,
292,2021-10-20,332256.31999999995,,,,,,,,,,
293,2021-10-21,424611.4099999997,,,,,,,,,,
294,2021-10-22,675316.33,,,,,,,,,,
295,2021-10-23,1301002.4,,,,,,,,,,
296,2021-10-24,944790.68,,,,,,,,,,
297,2021-10-25,342183.7800000001,,,,,,,,,,
298,2021-10-26,455164.7299999998,,,,,,,,,,
299,2021-10-27,451364.4699999997,,,,,,,,,,
300,2021-10-28,504187.13999999984,,,,,,,,,,
301,2021-10-29,678384.3599999998,,,,,,,,,,
302,2021-10-30,1160452.5199999998,,,,,,,,,,
303,2021-10-31,972095.6400000004,,,,,,,,,,
